civ1 dev,civ1 arms,civ1 agg,civ1 com,civ2 dev,civ2 arms,civ2 agg,civ2 com,dist,rounds,outcome
1,1,1,1,1,1,1,1,5,2,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.776393202,1,1,5,2,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.683772234,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.612701665,1,1,5,1,Everyone Has Died
1,1,1,1,1,0.552786405,1,1,5,1,Everyone Has Died
1,1,1,1,1,0.5,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.452277442,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.408392022,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.367544468,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.329179607,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.292893219,1,1,5,1,Everyone Has Died
1,1,1,1,1,0.258380151,1,1,5,2,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.225403331,1,1,5,1,Civ 1 Annihilates Civ 2
1,1,1,1,1,0.193774225,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.163339973,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.133974596,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.105572809,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.078045554,1,1,5,4,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.051316702,1,1,5,1,Civ 2 Annihilates Civ 1
1,1,1,1,1,0.025320566,1,1,5,5,Civ 2 Annihilates Civ 1
1,0.776393202,1,1,1,1,1,1,5,1,Civ 2 Annihilates Civ 1
1,0.776393202,1,1,1,0.776393202,1,1,5,2,Civ 1 Annihilates Civ 2
1,0.776393202,1,1,1,0.683772234,1,1,5,1,Civ 2 Annihilates Civ 1
1,0.776393202,1,1,1,0.612701665,1,1,5,1,Civ 1 Annihilates Civ 2
1,0.776393202,1,1,1,0.552786405,1,1,5,1,Civ 1 Annihilates Civ 2
1,0.776393202,1,1,1,0.5,1,1,5,2,Everyone Has Died
1,0.776393202,1,1,1,0.452277442,1,1,5,1,Civ 1 Annihilates Civ 2
1,0.776393202,1,1,1,0.408392022,1,1,5,3,Civ 1 Annihilates Civ 2
1,0.776393202,1,1,1,0.367544468,1,1,5,2,Everyone Has Died
1,0.776393202,1,1,1,0.329179607,1,1,5,1,Civ 1 Annihilates Civ 2
1,0.776393202,1,1,1,0.292893219,1,1,5,1,Civ 1 Annihilates Civ 2
1,0.776393202,1,1,1,0.258380151,1,1,5,2,Civ 1 Annihilates Civ 2
1,0.776393202,1,1,1,0.225403331,1,1,5,1,Civ 1 Annihilates Civ 2
