civ1 dev,civ1 arms,civ1 agg,civ1 com,civ2 dev,civ2 arms,civ2 agg,civ2 com,dist,rounds,outcome
1,0.2,1,0,1,0.2,1,0,5,14,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,0.1,5,2,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,0.2,5,3,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,0.3,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,0.4,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,0.5,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,0.6,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,0.7,5,18,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,0.8,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,0.9,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,1,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,1.1,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,1.2,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,1.3,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,1.4,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,1.5,5,5,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,1.6,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,1.7,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,1.8,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0,1,0.2,1,1.9,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,0,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,0.1,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,0.2,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,0.3,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,0.4,5,3,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,0.5,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,0.6,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,0.7,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,0.8,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,0.9,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,1,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,1.1,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,1.2,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,1.3,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,1.4,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,1.5,5,3,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,1.6,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,1.7,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,1.8,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.1,1,0.2,1,1.9,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.2,1,0.2,1,0,5,9,Civ 1 Annihilates Civ 2
1,0.2,1,0.2,1,0.2,1,0.1,5,1,Civ 1 Annihilates Civ 2
1,0.2,1,0.2,1,0.2,1,0.2,5,2,Civ 1 Annihilates Civ 2
1,0.2,1,0.2,1,0.2,1,0.3,5,1,Civ 1 Annihilates Civ 2
1,0.2,1,0.2,1,0.2,1,0.4,5,4,Civ 2 Annihilates Civ 1
1,0.2,1,0.2,1,0.2,1,0.5,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.2,1,0.2,1,0.6,5,2,Civ 2 Annihilates Civ 1
1,0.2,1,0.2,1,0.2,1,0.7,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,0.2,1,0.2,1,0.8,5,2,Civ 2 Annihilates Civ 1
1,0.2,1,0.2,1,0.2,1,0.9,5,1,Civ 2 Annihilates Civ 1
