civ1 dev,civ1 arms,civ1 agg,civ1 com,civ2 dev,civ2 arms,civ2 agg,civ2 com,dist,rounds,outcome
1,0.2,1,1,1,0.2,1,1,0,0,Stalemate
1,0.2,1,1,1,0.2,1,1,0,0,Stalemate
1,0.2,1,1,1,0.2,1,1,1,1,Civ 2 Annihilates Civ 1
1,0.2,1,1,1,0.2,1,1,1,1,Civ 2 Annihilates Civ 1
1,0.2,1,1,1,0.2,1,1,2,8,Civ 1 Annihilates Civ 2
1,0.2,1,1,1,0.2,1,1,2,1,Civ 1 Annihilates Civ 2
1,0.2,1,1,1,0.2,1,1,3,9,Civ 2 Annihilates Civ 1
1,0.2,1,1,1,0.2,1,1,3,2,Civ 2 Annihilates Civ 1
1,0.2,1,1,1,0.2,1,1,4,1,Civ 1 Annihilates Civ 2
1,0.2,1,1,1,0.2,1,1,4,2,Civ 1 Annihilates Civ 2
1,0.2,1,1,1,0.2,1,1,5,2,Civ 2 Annihilates Civ 1
1,0.2,1,1,1,0.2,1,1,5,1,Civ 2 Annihilates Civ 1
1,0.2,1,1,1,0.2,1,1,6,1,Civ 1 Annihilates Civ 2
1,0.2,1,1,1,0.2,1,1,6,2,Civ 2 Annihilates Civ 1
1,0.2,1,1,1,0.2,1,1,7,2,Civ 1 Annihilates Civ 2
1,0.2,1,1,1,0.2,1,1,7,1,Civ 1 Annihilates Civ 2
1,0.2,1,1,1,0.2,1,1,8,1,Civ 2 Annihilates Civ 1
1,0.2,1,1,1,0.2,1,1,8,2,Civ 2 Annihilates Civ 1
1,0.2,1,1,1,0.2,1,1,9,2,Civ 1 Annihilates Civ 2
1,0.2,1,1,1,0.2,1,1,9,1,Civ 1 Annihilates Civ 2
