civ1 dev,civ1 arms,civ1 agg,civ1 com,civ2 dev,civ2 arms,civ2 agg,civ2 com,dist,rounds,outcome
0.37,0.28147,0.56,0.23,0.83,0.02194,0.97,1.19,9,206,Civ 1 Annihilates Civ 2
0.36,0.01215,0.13,1.63,1.97,0.05853,0.44,0.35,9,3,Civ 1 Annihilates Civ 2
1.05,0.09475,0.03,1.33,1.6,0.24877,0.91,0.87,1,2,Civ 1 Annihilates Civ 2
0.92,0.07229,0.97,0.85,1.61,0.38266,0.75,0.58,2,2,Civ 1 Annihilates Civ 2
0.39,0.66983,0.27,0.06,0.74,0.3777,0.96,1.39,4,1,Civ 1 Annihilates Civ 2
0.57,0.39663,0.83,0.62,1.69,0.69547,0.54,0.83,4,3,Civ 1 Annihilates Civ 2
0.95,0.01849,0.88,1.48,1.24,0.66471,0.44,1.49,6,2,Civ 1 Annihilates Civ 2
0.91,0.06253,0.26,0.5,1.3,0.43128,0.34,0.72,3,2,Civ 1 Annihilates Civ 2
1.96,0.0524,0.79,0.11,0.19,0.16771,0.33,1.26,2,1,Civ 1 Annihilates Civ 2
1.07,0.05429,0.51,1.96,0.72,0.12121,0.21,1.15,10,1,Civ 1 Annihilates Civ 2
1.21,0.10767,0.03,0.83,0.77,0.08036,1,0.12,7,3,Civ 1 Annihilates Civ 2
0.33,0.41818,0.73,0.42,1.87,0.08035,0.16,1.23,3,1,Civ 2 Annihilates Civ 1
0.68,0.34957,0.17,1.39,1.22,0.60273,0.56,0.18,1,2,Civ 1 Annihilates Civ 2
1.32,0.7282,0.92,1.47,0.92,0.42917,1,1.27,3,2,Civ 1 Annihilates Civ 2
1.33,0.44335,0.37,0.82,1.03,0.79854,0.89,0.97,2,1,Civ 1 Annihilates Civ 2
0.24,0.30659,0.29,0.84,0.58,0.41731,0.34,0.5,2,1,Civ 1 Annihilates Civ 2
0.97,0.07063,0.72,1.44,0.56,0.66938,0.59,1.19,4,1,Civ 1 Annihilates Civ 2
1.73,0.21187,0.43,1.22,0.05,0.58018,0.12,1.03,3,2,Civ 1 Annihilates Civ 2
0.63,0.18893,0.37,0.33,0.83,0.1797,0.66,1.31,5,1,Civ 1 Annihilates Civ 2
0.05,0.52454,0.42,1.59,1.2,0.60318,0.37,0.13,8,2,Civ 1 Annihilates Civ 2
1.02,0.00625,0.99,0.22,1.79,0.50087,0.66,1.1,1,2,Civ 1 Annihilates Civ 2
1.98,0.15703,0.68,1.77,1.5,0.72859,0.06,1.66,9,2,Civ 1 Annihilates Civ 2
1.38,0.26459,0.37,1.09,1.1,0.23542,0.27,1.46,2,2,Civ 1 Annihilates Civ 2
1.97,0.26676,0.53,1.2,1.1,0.47716,0.46,1.38,6,2,Civ 1 Annihilates Civ 2
1.99,0.32484,0.35,0.39,1.14,0.25565,0.58,1.2,9,1,Civ 1 Annihilates Civ 2
1.51,0.09798,0.36,0.51,0.3,0.64801,0.33,0.11,9,2,Civ 1 Annihilates Civ 2
0.25,0.27122,0.12,1.49,1.22,0.00172,0.22,0.87,9,2,Civ 1 Annihilates Civ 2
0.3,0.79351,0.24,1.61,0.37,0.00249,0.6,0.18,7,2,Civ 1 Annihilates Civ 2
0.54,0.68606,0.54,0.45,1.45,0.1444,0.01,0.37,7,2,Civ 1 Annihilates Civ 2
0.36,0.02367,0.02,0.79,0.4,0.58784,0.84,0.61,3,1,Civ 1 Annihilates Civ 2
1.79,0.26081,0.98,0.53,0.28,0.88657,0.78,1.43,1,1,Civ 1 Annihilates Civ 2
0.32,0.03218,1,0.63,1.82,0.33108,0.34,0.34,1,2,Civ 2 Annihilates Civ 1
1.37,0.44469,0.5,0.77,1.2,0.09494,0.11,0.07,3,2,Civ 1 Annihilates Civ 2
0.63,0.19514,0.91,0.69,1.61,0.8901,0.35,0.21,10,3,Civ 1 Annihilates Civ 2
0.73,0.54404,0.92,0.92,1.99,0.21434,0.35,0.62,10,3,Civ 1 Annihilates Civ 2
1.19,0.61015,0.37,0.74,1.13,0.32486,0.07,0.99,1,2,Civ 1 Annihilates Civ 2
0.19,0.04644,0.21,0.54,0.42,0.44907,0.46,1.37,5,1,Civ 1 Annihilates Civ 2
1.17,0.15693,0.3,1.97,0.89,0.45636,0.83,0.1,10,1,Civ 2 Annihilates Civ 1
0.06,0.02097,0.9,1.8,1.75,0.30328,0.08,1.54,10,3,Civ 1 Annihilates Civ 2
1.59,0.13952,0.04,0.39,0.26,0.19865,0.83,1.02,1,1,Civ 1 Annihilates Civ 2
0.46,0.14544,0.24,0.7,0.55,0.06418,0.56,0.28,7,1,Civ 1 Annihilates Civ 2
1.56,0.38983,0.63,1.14,0.64,0.0563,0.37,0.02,9,1,Civ 1 Annihilates Civ 2
1.79,0.06174,1,1.01,0.12,0.12637,0.87,1.43,4,1,Civ 1 Annihilates Civ 2
1.07,0.27987,0.38,0.6,0.6,0.69237,0.75,1.22,10,1,Civ 1 Annihilates Civ 2
1.9,0.42634,0.16,2,1.34,0.28588,0.1,1.51,5,2,Civ 1 Annihilates Civ 2
1.22,0.65417,0.65,0.76,0.7,0.22561,0.05,1.52,4,1,Civ 1 Annihilates Civ 2
1.31,0.12213,0.13,0.87,0.42,0.32132,0.71,1.67,1,1,Civ 1 Annihilates Civ 2
0.32,0.07588,0.24,0.89,0.14,0.82623,0.42,0.08,10,1,Civ 1 Annihilates Civ 2
1.77,0.33682,0.88,1.65,0.91,0.32438,0.11,1,6,2,Civ 1 Annihilates Civ 2
0.64,0.30838,0.16,1.95,1.49,0.10164,0.79,0.46,4,2,Civ 1 Annihilates Civ 2
0.36,0.06988,0.2,0.99,0.7,0.23971,0.71,1.49,2,1,Everyone Has Died
0.43,0.02875,0.56,0.96,0.63,0.04147,0.56,1.38,9,4,Civ 1 Annihilates Civ 2
1.74,0.26169,0.29,1.52,0.2,0.75619,0.99,1.58,7,1,Everyone Has Died
1.75,0.66446,0.46,1.42,1.54,0.41238,0.01,0.75,10,1,Civ 2 Annihilates Civ 1
1.98,0.44514,0.53,0.7,1.71,0.24048,0.69,0.52,4,3,Civ 1 Annihilates Civ 2
1.48,0.14408,0.43,0.84,1.9,0.74054,0.18,1.4,6,3,Civ 1 Annihilates Civ 2
1.4,0.26849,0.76,1.46,1.41,0.19659,0.28,1.67,2,3,Civ 1 Annihilates Civ 2
1.3,0.75005,0.8,0.9,0.69,0.01031,0.06,1.12,2,2,Civ 1 Annihilates Civ 2
0.56,0.25285,0.68,0.23,1.35,0.33301,0.94,1.95,10,1,Everyone Has Died
1.64,0.30736,0.95,1.85,0.62,0.8781,0.43,1.68,1,1,Everyone Has Died
0.43,0.03867,0.5,1.77,0.84,0.07701,0.16,0.13,2,2,Civ 1 Annihilates Civ 2
1.14,0.09706,0.34,0.06,1.57,0.27188,0.1,0.79,7,2,Civ 1 Annihilates Civ 2
0.76,0.03947,0.56,0.05,0.51,0.2963,0.35,0.56,8,1,Civ 1 Annihilates Civ 2
